Name;Value.Skill;Value.levelDifficulty
1045560040136058036;4;HARD
1045560040136058036;2;HARD
1045560040136058036;1;HARD
1267507278367725983;2;EASY
157944069160053099;3;HARD
1619366812132536978;2;HARD
1809993702961660296;2;EASY
1932672610123153558;2;HARD
1984246957376655214;5;HARD
2046253911411990718;2;HARD
2046253911411990718;3;HARD
2616183498576396450;2;EASY
2707798156655514397;2;HARD
2788732078683563360;4;HARD
2809462855172882374;2;EASY
2883188744900435742;5;EASY
2883188744900435742;4;EASY
2883188744900435742;4;EASY
2883188744900435742;5;EASY
2883188744900435742;5;EASY
2883188744900435742;4;EASY
3007896395916945777;3;HARD
3028517500769047673;2;HARD
3365568272506603414;2;EASY
3483298140389683341;3;HARD
3704990574109784239;4;EASY
3706859492818350796;2;EASY
3706859492818350796;4;EASY
3706859492818350796;3;EASY
374666576992521514;1;HARD
374666576992521514;3;HARD
374666576992521514;4;HARD
374666576992521514;4;HARD
374666576992521514;3;HARD
374666576992521514;3;HARD
374666576992521514;4;HARD
3929528011741992517;4;EASY
4508188291227463926;2;HARD
4671740550322628655;3;HARD
4671740550322628655;2;HARD
5045398153499486808;2;EASY
5045398153499486808;3;EASY
5233157276984910940;3;EASY
5259363505039104955;3;EASY
5470214838606364060;4;HARD
5470214838606364060;5;HARD
5470214838606364060;4;HARD
5470214838606364060;4;HARD
5470214838606364060;5;HARD
5470214838606364060;4;HARD
5470214838606364060;4;HARD
5470214838606364060;4;HARD
5523932241583497029;2;HARD
5534641257637961746;2;EASY
6005218198949426372;3;HARD
6120441850317779126;1;HARD
622247180279702136;4;HARD
622247180279702136;3;HARD
622247180279702136;3;HARD
622247180279702136;4;HARD
6228396551229153993;4;HARD
6346594997033955084;4;HARD
6615109153622399121;2;EASY
7376718801858428027;4;EASY
7421698782103601388;4;HARD
7787987802344267051;5;EASY
8039639679257402388;3;EASY
8039639679257402388;3;EASY
8039639679257402388;3;EASY
8099685567710576395;1;EASY
8789482585559465446;4;HARD
8790335764012539502;2;HARD
8969406569146220590;3;HARD
8969406569146220590;3;HARD
