1721064412,StartEvent,925596532855327047
1721064412,GraphDifficEvent,925596532855327047
1721064412,GraphDifficEvent,925596532855327047
1721064412,DDAGraphActEvent,925596532855327047
1721064412,LevelDifficultyEvent,925596532855327047,EASY
1721064814,StartLevelEvent,925596532855327047,1,"Level4"
1721064877,PlayerDeathEvent,925596532855327047,"-4,540786","-6,780483"
1721064878,EndLevelEvent,925596532855327047,1,"Level4"
1721064879,StartLevelEvent,925596532855327047,1,"Level1"
1721064966,LostHealthEvent,925596532855327047,"22"
1721064966,LevelCompletedEvent,925596532855327047
1721064966,EndLevelEvent,925596532855327047,1,"Level1"
1721064967,StartLevelEvent,925596532855327047,2,"Level2"
1721064985,PlayerDeathEvent,925596532855327047,"-2,023453","-8,058505"
1721064986,EndLevelEvent,925596532855327047,2,"Level2"
1721065490,EndEvent,925596532855327047
